선거구명,사진,기호,소속정당,성명,성별,생년월일,주소,직업,학력,경력,재산신고액(천원),병역,납부액,최근5년체납액,현체납액,전과기록,입후보
종로구,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1101/Sgg2110101/Hb100118613/gicho/thumbnail.100118613.jpg,1,새누리당,"

																오세훈(吳世勳)


",남,1961/01/04(55세),서울특별시 종로구 혜화로3길,변호사,고려대학교 대학원 법학박사,"(전)제33, 34대 서울특별시장(전)제16대 국회의원","6,046,332",군복무를 마친사람,"149,779",0,0,없음,3회
종로구,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1101/Sgg2110101/Hb100119321/gicho/thumbnail.100119321.jpg,2,더불어민주당,"

																정세균(丁世均)


",남,1950/09/26(65세),서울특별시 종로구 동망산길,국회의원,고려대학교 법학과 졸업,(전)민주당 대표(전)산업자원부 장관,"3,481,103",군복무를 마친사람,"90,914",0,0,없음,5회
종로구,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1101/Sgg2110101/Hb100119833/gicho/thumbnail.100119833.jpg,3,국민의당,"

																박태순(朴台淳)


",남,1963/02/28(53세),서울특별시 종로구 진흥로22길,사회갈등연구소 대표이사,서울대학교 대학원 생물학과 졸업(이학박사),(전)대통령자문 지속가능발전위원회 전문위원(현)국민의당 국민소통기획위원장,"118,592",군복무를 마치지 아니한 사람,"7,611",0,0,없음,0회
종로구,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1101/Sgg2110101/Hb100120092/gicho/thumbnail.100120092.jpg,4,정의당,"

																윤공규(尹公圭)


",남,1963/04/21(52세),서울특별시 종로구 효자로,정당인,미기재,(현)정의당 종로구위원회 위원장(현)심상정 상임대표 정책특보,"277,458",군복무를 마치지 아니한 사람,905,0,0,3건,0회
종로구,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1101/Sgg2110101/Hb100120147/gicho/thumbnail.100120147.jpg,5,노동당,"

																김한울(金한울)


",남,1978/12/16(37세),서울특별시 종로구 자하문로,종로구 지역 활동가,미기재,(전)서촌주거공간연구회 사무국장(현)노동당 부대표,"321,641",군복무를 마친사람,129,0,0,없음,0회
종로구,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1101/Sgg2110101/Hb100119211/gicho/thumbnail.100119211.jpg,6,녹색당,"

																하승수(河昇秀)


",남,1968/12/13(47세),서울특별시 종로구 자하문로1가길,사회운동가,미기재,(전)참여연대 협동사무처장(전)제주대학교 법학전문대학원 교수,"408,002",군복무를 마친사람,"12,695",0,0,없음,0회
종로구,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1101/Sgg2110101/Hb100120304/gicho/thumbnail.100120304.jpg,7,진리대한당,"

																이석인(李錫仁)


",남,1954/02/17(62세),서울특별시 종로구 대학로,정당인,경남대학교 경영대학원 졸업,(전)서남아시아 선교사(현)진리대한당 대표,0,군복무를 마친사람,"27,552",0,0,3건,0회
종로구,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1101/Sgg2110101/Hb100120288/gicho/thumbnail.100120288.jpg,8,한나라당,"

																박종구(朴鍾九)


",남,1949/07/25(66세),서울특별시 종로구 삼일대로,민족운동가,연세대학교 법학과 졸업,(전)동학민족통일회 공동의장(현)통일광복민족회의 대표,"10,000",군복무를 마친사람,"12,704",0,0,1건,3회
종로구,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1101/Sgg2110101/Hb100119692/gicho/thumbnail.100119692.jpg,9,무소속,"

																김대한(金大漢)


",남,1961/06/07(54세),서울특별시 종로구 성균관로,정치인,전북대학교 공과대학 토목공학과 졸업,(전)주독일외환은행 근무(전)DHMG GmbH 대표,"300,000",군복무를 마친사람,0,0,0,없음,0회
종로구,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1101/Sgg2110101/Hb100120143/gicho/thumbnail.100120143.jpg,10,무소속,"

																이원옥(李元玉)


",남,1958/02/26(58세),서울특별시 종로구 사직로8길,대리운전기사,건국대학교 경영대학원 석사,(전)평민당 중앙당직(전)건설현장 각종 노무직,"54,927",군복무를 마친사람,0,0,0,1건,0회
중구성동구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1104/Sgg2110402/Hb100118380/gicho/thumbnail.100118380.jpg,1,새누리당,"

																김동성(金東聖)


",남,1971/01/11(45세),서울특별시 성동구 왕십리로,변호사,서울대학교 법과대학 사법학과 졸업,(전)제18대 새누리당 국회의원(전)SBS 솔로몬의 선택 변호사,"1,576,775",군복무를 마친사람,"64,445",0,0,없음,3회
중구성동구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1104/Sgg2110402/Hb100119325/gicho/thumbnail.100119325.jpg,2,더불어민주당,"

																홍익표(洪翼杓)


",남,1967/11/20(48세),서울특별시 성동구 행당로,국회의원,한양대학교 대학원 정치외교학과 졸업 (정치학 박사),(전)민주당 원내대변인(현)제19대 더불어민주당 국회의원,"1,380,758",군복무를 마친사람,"79,692",0,0,없음,1회
중구성동구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1104/Sgg2110402/Hb100120701/gicho/thumbnail.100120701.jpg,3,국민의당,"

																서경선(徐景善)


",남,1963/08/27(52세),서울특별시 성동구 난계로,정당인,서울대학교 언론정보학과 졸업,(전)안철수 대선캠프 팀장(현)국민의당 정치혁신특위 상임위원,"178,007",군복무를 마친사람,"2,348",0,0,3건,0회
중구성동구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1104/Sgg2110402/Hb100120034/gicho/thumbnail.100120034.jpg,4,정의당,"

																장지웅(張智雄)


",남,1989/03/09(27세),서울특별시 성동구 용답중앙3나길,학원강사,중앙대학교 신문방송학부 언론저널리즘 전공 졸업,(현)유스티티아 탐구학원 연구원장(현)청년당당 정책위원회 교육팀장,"378,063",군복무를 마친사람,"8,460",0,0,없음,0회
중구성동구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1102/Sgg2110201/Hb100118412/gicho/thumbnail.100118412.jpg,1,새누리당,"

																지상욱(池尙昱)


",남,1965/05/16(50세),서울특별시 중구 동호로17길,정당인,"일본 동경대학교 공학대학원 졸업(1994.4~1997.3, 건축학박사)",(전)새누리당 중구 당협위원장(전)2010년 지방선거 서울시장 후보,"4,787,174",군복무를 마치지 아니한 사람,"1,048,966",0,0,1건,1회
중구성동구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1102/Sgg2110201/Hb100120704/gicho/thumbnail.100120704.jpg,2,더불어민주당,"

																이지수(李知洙)


",남,1964/08/21(51세),서울특별시 성동구 독서당로,미국 뉴욕주 변호사,컬럼비아대학교 경영학 석사(1995-1996),(현)미국 뉴욕주 변호사(전)좋은기업지배구조연구소 연구위원,"499,991",군복무를 마친사람,"46,484",0,0,없음,0회
중구성동구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1102/Sgg2110201/Hb100119500/gicho/thumbnail.100119500.jpg,3,국민의당,"

																정호준(鄭皓駿)


",남,1971/02/19(45세),서울특별시 중구 다산로,제19대 서울중구 국회의원,뉴욕대학교 대학원 인문커뮤니케이션 경영학 석사(1997.9~1999.5),(전)노무현대통령 청와대비서실 행정관(현)제19대 서울중구 국회의원,"428,544",군복무를 마친사람,"36,305",648,0,2건,2회
중구성동구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1102/Sgg2110201/Hb100120072/gicho/thumbnail.100120072.jpg,5,코리아,"

																정재복(鄭在福)


",남,1946/05/03(69세),서울특별시 노원구 동일로,정당인,미기재,(현)코리아당상임고문(현)민주평화통일자문회의자문위원,0,군복무를 마치지 아니한 사람,0,0,0,2건,10회
중구성동구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1102/Sgg2110201/Hb100120326/gicho/thumbnail.100120326.jpg,6,민중연합당,"

																김수정(金秀瀞)


",여,1989/02/01(27세),서울특별시 중구 청구로,정당인,부천대학 (현: 부천대학교) 의상디자인과 졸업,(현)민중연합당(흙수저당) 중구·성동구 위원장(전)세월호 청춘열차 공동기획단장,"8,731",해당없음(비대상),0,0,0,없음,0회
용산구,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1103/Sgg2110301/Hb100118756/gicho/thumbnail.100118756.jpg,1,새누리당,"

																황춘자(黃椿子)


",여,1953/06/12(62세),서울특별시 용산구 이촌로,도시컨텐츠연구소 대표,경희대학교 일반대학원 행정학박사,(전)서울메트로 경영혁신본부장(현)대통령소속 국민대통합위원회 갈등관리위원,"632,000",군복무를 마친사람,"101,227","4,451",0,없음,1회
용산구,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1103/Sgg2110301/Hb100119890/gicho/thumbnail.100119890.jpg,2,더불어민주당,"

																진영(陳永)


",남,1950/10/23(65세),서울특별시 용산구 한강대로,국회의원,서울대학교 법과대학 법학과 졸업,(전)보건복지부 장관(전)제18대 대통령직인수위원회 부위원장,"4,780,275",군복무를 마친사람,"152,120",0,0,없음,4회
용산구,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1103/Sgg2110301/Hb100118907/gicho/thumbnail.100118907.jpg,3,국민의당,"

																곽태원(郭泰元)


",남,1957/01/12(59세),서울특별시 용산구 이촌로65길,한국노동경제연구원 원장,인하대학교 대학원 경제학과 박사과정 수료,(현)안철수 국회의원 정책특보(현)대한민국임시정부기념사업회 상임부회장,"1,102,175",군복무를 마친사람,"49,096",0,0,1건,0회
용산구,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1103/Sgg2110301/Hb100119846/gicho/thumbnail.100119846.jpg,4,정의당,"

																정연욱(鄭然旭)


",남,1969/03/28(47세),서울특별시 용산구 원효로,정당인,경희대학교 외국어대학 영어영문학과 2년 수료(1988.03.02.~1991.08.31.),(전)민주노동당 당대표 비서실장(현)정의당 용산구위원장,"178,000",군복무를 마친사람,233,0,0,없음,2회
용산구,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1103/Sgg2110301/Hb100120323/gicho/thumbnail.100120323.jpg,5,민중연합당,"

																이소영(李素瑛)


",여,1987/03/29(29세),서울특별시 용산구 후암로40길,정당인,삼육대학교 사회복지학과 졸업,(전)청년인트로 대표(현)민중연합당(흙수저당) 용산구 위원장,"-9,049",해당없음(비대상),23,0,0,1건,1회
광진구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1105/Sgg2110501/Hb100118505/gicho/thumbnail.100118505.jpg,1,새누리당,"

																정송학(鄭松鶴)


",남,1953/07/07(62세),서울특별시 광진구 아차산로78가길,한양대학교 공공정책대학원 특임교수,한양대학교대학원 법학과 졸업(법학박사),(전) 광진구청장(현) 한양대 공공정책대학원 특임교수,"1,335,842",군복무를 마친사람,"40,005",0,0,없음,3회
광진구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1105/Sgg2110501/Hb100118932/gicho/thumbnail.100118932.jpg,2,더불어민주당,"

																전혜숙(全惠淑)


",여,1955/05/05(60세),서울특별시 광진구 광나루로,정당인,성균관대학교 임상약학대학원 약학석사,(전) 제18대 국회의원(현) 더불어민주당 사회복지특별위원장,"1,010,004",해당없음(비대상),"40,276",0,0,없음,1회
광진구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1105/Sgg2110501/Hb100120565/gicho/thumbnail.100120565.jpg,3,국민의당,"

																임동순(任東淳)


",남,1954/02/09(62세),서울특별시 광진구 동일로68길,월드건설 대표,초당대학교 사회체육학과 졸업,(전) 제5대 서울시의회의원(전) 민주당 광진구갑지역위원장,"1,077,191",군복무를 마친사람,"82,288","1,625",0,없음,5회
광진구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1105/Sgg2110501/Hb100119134/gicho/thumbnail.100119134.jpg,5,고용복지연금선진화연대,"

																이정희(李廷姬)


",여,1960/12/22(55세),서울특별시 광진구 아차산로,영어교습소 원장,한국방송통신대학교 영어영문학과 졸업,(전) 워커힐아파트 입주자대표회의 감사(전) 광장동 주민자치위원,"1,744,518",해당없음(비대상),"17,551",0,0,없음,0회
광진구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1105/Sgg2110501/Hb100119253/gicho/thumbnail.100119253.jpg,6,한나라당,"

																백승원(白承元)


",남,1949/09/22(66세),서울특별시 광진구 긴고랑로,평화산업·베스트빌 대표,한국방송통신대학교 법학과 2년 중퇴,(전) 2006년 서울시장선거 후보(전) 제17대 대통령선거 열린우리당 예비후보,"277,000",군복무를 마친사람,"4,096",0,0,2건,1회
광진구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1105/Sgg2110502/Hb100118499/gicho/thumbnail.100118499.jpg,1,새누리당,"

																정준길(鄭濬吉)


",남,1966/05/17(49세),서울특별시 광진구 아차산로,변호사,서울대학교 법과대학 졸업,(전) 대검찰청 중앙수사부 검사(전) CJ그룹 임원,"1,611,603",군복무를 마친사람,"854,793",0,0,없음,1회
광진구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1105/Sgg2110502/Hb100119374/gicho/thumbnail.100119374.jpg,2,더불어민주당,"

																추미애(秋美愛)


",여,1958/10/23(57세),서울특별시 광진구 광나루로56길,국회의원,한양대학교 법학과 졸업,(전) 고등법원 판사(현) 광진구을 제19대 국회의원,"1,022,537",해당없음(비대상),"81,897",0,0,없음,5회
광진구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1105/Sgg2110502/Hb100118547/gicho/thumbnail.100118547.jpg,3,국민의당,"

																황인철(黃寅哲)


",남,1961/03/02(55세),서울특별시 광진구 아차산로27길,정당인,고려대학교 법학과 졸업,(전) 김대중 대통령 통치사료 비서관(전) 더불어민주당 전략홍보본부 부본부장,"478,640",군복무를 마친사람,"2,863",0,0,없음,0회
동대문구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1106/Sgg2110601/Hb100118362/gicho/thumbnail.100118362.jpg,1,새누리당,"

																허용범(許容範)


",남,1964/10/10(51세),서울특별시 동대문구 장안벚꽃로5길,정당인,하버드대학교 정치행정대학원 정치행정학석사(2000.6~2001.6),(전)조선일보 워싱턴 특파원(전)대한민국 국회대변인,"961,395",군복무를 마친사람,"25,705",145,0,1건,2회
동대문구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1106/Sgg2110601/Hb100119918/gicho/thumbnail.100119918.jpg,2,더불어민주당,"

																안규백(安圭伯)


",남,1961/04/29(54세),서울특별시 동대문구 한천로63길,국회의원,성균관대학교 무역대학원 무역학과 석사과정 수료,(전)더불어민주당 전략홍보본부장(현)제19대 동대문갑 국회의원,"4,216,669",군복무를 마친사람,"91,278",0,0,없음,2회
동대문구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1106/Sgg2110601/Hb100120074/gicho/thumbnail.100120074.jpg,3,국민의당,"

																김윤(金潤)


",남,1963/10/03(52세),서울특별시 동대문구 안암로16길,정당인,서울대학교 서양사학과 졸업,(전)대우자동차 세계경영기획단장(현)국민의당 정책위원회 부의장,"731,500",군복무를 마치지 아니한 사람,858,0,0,1건,1회
동대문구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1106/Sgg2110601/Hb100119709/gicho/thumbnail.100119709.jpg,4,정의당,"

																오정빈(吳禎彬)


",남,1988/11/08(27세),서울특별시 송파구 중대로,정당인,아주대학교 사회과학대학 정치외교학과 졸업,(전)정의당 중앙 청년·학생위원회 조직1국장(현)정의당 서울시당 부위원장,0,군복무를 마친사람,"25,634",0,0,없음,0회
동대문구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1106/Sgg2110602/Hb100118374/gicho/thumbnail.100118374.jpg,1,새누리당,"

																박준선(朴俊宣)


",남,1966/06/23(49세),서울특별시 동대문구 장한로12길,변호사,서울대학교 법과대학 사법학과 졸업,(전)법무부 국제법무과 검사(전)제18대 국회의원,"2,159,644",군복무를 마치지 아니한 사람,"120,202",0,0,없음,1회
동대문구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1106/Sgg2110602/Hb100119639/gicho/thumbnail.100119639.jpg,2,더불어민주당,"

																민병두(閔丙梪)


",남,1958/06/10(57세),서울특별시 동대문구 사가정로,국회의원,성균관대학교 무역학과 졸업,(전)문화일보 워싱턴특파원(현)민주정책연구원 원장,"741,077",군복무를 마치지 아니한 사람,"52,330",0,0,1건,3회
동대문구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1106/Sgg2110602/Hb100120324/gicho/thumbnail.100120324.jpg,5,민중연합당,"

																윤미연(尹美娟)


",여,1990/09/07(25세),서울특별시 동대문구 천호대로89길,정당인,서일대학교 사회복지과 졸업,(현)민중연합당(흙수저당) 동대문구 위원장(현)청년정치로 대표,"89,619",해당없음(비대상),278,0,0,없음,0회
중랑구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1107/Sgg2110701/Hb100119019/gicho/thumbnail.100119019.jpg,1,새누리당,"

																김진수(金珍洙)


",남,1959/01/25(57세),서울특별시 중랑구 동일로96가길,건국대학교 교수,건국대학교 일반대학원 박사과정 행정학과 도시및지역개발전공(행정학박사),(전)국민권익위원회(보상심의) 위원(현)건국대학교 행정대학원 도시및지역계획학과 교수,"662,697",군복무를 마친사람,"40,641","3,109",0,1건,0회
중랑구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1107/Sgg2110701/Hb100119402/gicho/thumbnail.100119402.jpg,2,더불어민주당,"

																서영교(徐瑛敎)


",여,1964/11/11(51세),서울특별시 중랑구 면목로37길,국회의원,이화여자대학교 정치외교학과 졸업,(전)청와대 춘추관장 겸 보도지원 비서관(현)국회 법제사법위원회 위원,"1,247,874",해당없음(비대상),"100,618",0,0,1건,1회
중랑구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1107/Sgg2110701/Hb100118745/gicho/thumbnail.100118745.jpg,3,국민의당,"

																민병록(閔丙祿)


",남,1953/10/03(62세),서울특별시 중랑구 중랑천로,정당인,고려대학교 경영대학원 경영학석사과정 졸업(경영학 석사),(전)국민회의 서울특별시당 공동위원장(현)국민의당 서울특별시당 공동위원장,"5,293,970",군복무를 마친사람,"56,636",0,0,4건,1회
중랑구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1107/Sgg2110701/Hb100120480/gicho/thumbnail.100120480.jpg,5,민중연합당,"

																이창배(李昌倍)


",남,1971/08/23(44세),서울특별시 중랑구 상봉로11길,노동자,고등학교 졸업학력 검정고시 합격,(전)전국금속노동조합 조직국장(현)전국학교비정규직노동조합 조직국장,"57,000",군복무를 마친사람,848,0,0,1건,0회
중랑구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1107/Sgg2110702/Hb100118992/gicho/thumbnail.100118992.jpg,1,새누리당,"

																강동호(康東鎬)


",남,1944/02/12(72세),서울특별시 중랑구 신내로,정당인,경희대학교 대학원 정치외교학과 졸업(정치학석사),(전)서울외국어대학원대학교 총장(전)새누리당 중랑구을 당협위원장,"1,679,000",군복무를 마친사람,"52,787",0,0,없음,5회
중랑구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1107/Sgg2110702/Hb100119564/gicho/thumbnail.100119564.jpg,2,더불어민주당,"

																박홍근(朴洪根)


",남,1969/10/08(46세),서울특별시 중랑구 봉화산로,국회의원,경희대학교 행정대학원 환경행정학과 졸업(행정학석사),(현)서울 중랑구(을) 국회의원(현)유네스코(UNESCO) 한국위원,"161,957",군복무를 마치지 아니한 사람,"20,929",0,0,2건,1회
중랑구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1107/Sgg2110702/Hb100119838/gicho/thumbnail.100119838.jpg,3,국민의당,"

																강원(姜遠)


",남,1953/08/20(62세),서울특별시 중랑구 용마산로129가길,정당인,마닐라시립대학교 경영학 박사(2003.8~2005.5),(전)한국폴리텍1 성남캠퍼스 학장(전)서경대학교 경영학부 초빙교수,"805,950",군복무를 마친사람,"2,408",441,0,1건,0회
중랑구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1107/Sgg2110702/Hb100119376/gicho/thumbnail.100119376.jpg,5,무소속,"

																김민상(金旼詳)


",남,1990/02/05(26세),서울특별시 중랑구 신내로21길,정치인,서강대학교 경영학과 졸업,미기재,"9,509",군복무를 마친사람,0,0,0,없음,0회
중랑구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1107/Sgg2110702/Hb100120383/gicho/thumbnail.100120383.jpg,6,무소속,"

																윤정화(尹廷華)


",남,1981/12/13(34세),서울특별시 중랑구 송림길,회사원,서울대학교 경영학과 졸업,(전)한국투자증권 파생금융상품 운용역(현)한국기업지배구조원 선임연구원,"1,525,253",군복무를 마친사람,"126,834",0,0,없음,0회
성북구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1108/Sgg2110801/Hb100118341/gicho/thumbnail.100118341.jpg,1,새누리당,"

																정태근(鄭泰根)


",남,1964/01/08(52세),서울특별시 성북구 성북로4길,(사)시민을위한정책연구원 이사장,연세대학교 경제대학원 공공발전전공 석사과정 졸업,(전)제18대 국회의원(전)서울특별시 정무부시장,"656,564",군복무를 마치지 아니한 사람,"92,456",0,0,3건,5회
성북구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1108/Sgg2110801/Hb100119929/gicho/thumbnail.100119929.jpg,2,더불어민주당,"

																유승희(兪承希)


",여,1960/04/26(55세),서울특별시 성북구 동소문로3길,국회의원,한양대학교 대학원 행정학과 졸업(행정학 박사),(전)더불어민주당 최고위원(현)국회 여성가족위원회 위원장,"659,774",해당없음(비대상),"23,500",0,0,없음,4회
성북구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1108/Sgg2110801/Hb100120345/gicho/thumbnail.100120345.jpg,3,국민의당,"

																도천수(都泉樹)


",남,1953/06/24(62세),서울특별시 성북구 북악산로,(사) 희망시민연대 대표,고려대학교 철학과 졸업,(전)고려대민주동우회 회장(전) 국민회의 정치개혁위원장,"407,000",군복무를 마친사람,"9,450",0,0,없음,0회
성북구갑,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1108/Sgg2110801/Hb100120333/gicho/thumbnail.100120333.jpg,5,민중연합당,"

																박철우(朴哲佑)


",남,1985/01/02(31세),서울특별시 성북구 성북로8다길,정당인,경기대학교 화학과 수료,(현)민중연합당(흙수저당) 서울시당 공동위원장(현)민중연합당(흙수저당) 최저시급 1만원 서울추진위원장,"1,190",군복무를 마친사람,283,0,0,없음,0회
성북구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1108/Sgg2110802/Hb100118557/gicho/thumbnail.100118557.jpg,1,새누리당,"

																김효재(金孝在)


",남,1952/05/14(63세),서울특별시 성북구 월곡로14길,정당인,고려대학교 언론대학원 신문방송학과 졸업(석사),(전) 제18대 국회의원(성북을)(전) 청와대 정무수석,"1,310,972",군복무를 마친사람,"55,711",0,0,2건,1회
성북구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1108/Sgg2110802/Hb100119745/gicho/thumbnail.100119745.jpg,2,더불어민주당,"

																기동민(奇東旻)


",남,1966/02/23(50세),서울특별시 성북구 숭인로2길,정당인,성균관대학교 언론정보대학원 커뮤니케이션학과 졸업,(전)서울시 정무부시장(전)성균관대학교 초빙교수,"1,636,500",군복무를 마친사람,"28,823",0,0,2건,1회
성북구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1108/Sgg2110802/Hb100120079/gicho/thumbnail.100120079.jpg,3,국민의당,"

																김인원(金仁垣)


",남,1962/12/10(53세),서울특별시 성북구 돌곶이로8길,변호사,성균관대학교 대학원 법학과 공법전공 졸업(법학석사),"(전)서울북부지검 제3,4 부장검사(전)사법연수원 교수","514,874",군복무를 마친사람,"53,583",0,0,없음,0회
성북구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1108/Sgg2110802/Hb100118782/gicho/thumbnail.100118782.jpg,4,정의당,"

																박창완(朴昶完)


",남,1959/03/30(57세),서울특별시 성북구 종암로19다길,정치인,경남대학교 대학원 법학과 졸업(법학석사),(전) 박원순 서울시장 성북구 선거대책본부 공동본부장(현) 심상정 정의당대표 경제특보,"1,150,941",군복무를 마친사람,"5,209",0,0,3건,3회
성북구을,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1108/Sgg2110802/Hb100119557/gicho/thumbnail.100119557.jpg,5,무소속,"

																이경애(李敬愛)


",여,1959/05/19(56세),서울특별시 성북구 화랑로48길,정치인,한양대학교 지방자치대학원(현 공공정책대학원)졸업,"(전) 5,8대 서울특별시의회의원(전) 김대중 대통령 후보 조직특보","521,346",해당없음(비대상),"2,315",0,0,없음,4회
