code,election,name,submunicipalities,seo
3401156,천안시갑,일봉동,천안시일봉동,천안시일봉동  (천안시갑)
3401155,천안시갑,봉명동,천안시봉명동,천안시봉명동  (천안시갑)
3401154,천안시갑,원성2동,천안시원성2동,천안시원성2동  (천안시갑)
3401153,천안시갑,원성1동,천안시원성1동,천안시원성1동  (천안시갑)
3401152,천안시갑,문성동,천안시문성동,천안시문성동  (천안시갑)
3401151,천안시갑,중앙동,천안시중앙동,천안시중앙동  (천안시갑)
3401137,천안시갑,동면,천안시동면,천안시동면  (천안시갑)
3401136,천안시갑,병천면,천안시병천면,천안시병천면  (천안시갑)
3401135,천안시갑,수신면,천안시수신면,천안시수신면  (천안시갑)
3401134,천안시갑,성남면,천안시성남면,천안시성남면  (천안시갑)
3401133,천안시갑,북면,천안시북면,천안시북면  (천안시갑)
3401111,천안시갑,목천읍,천안시목천읍,천안시목천읍  (천안시갑)
3401251,천안시갑,성정1동,천안시성정1동,천안시성정1동  (천안시갑)
3401252,천안시갑,성정2동,천안시성정2동,천안시성정2동  (천안시갑)
3401231,천안시을,입장면,천안시입장면,천안시입장면  (천안시을)
3401261,천안시을,부성2동,천안시부성2동,천안시부성2동  (천안시을)
3401260,천안시을,부성1동,천안시부성1동,천안시부성1동  (천안시을)
3401259,천안시을,불당동,천안시불당동,천안시불당동  (천안시을)
3401213,천안시을,직산읍,천안시직산읍,천안시직산읍  (천안시을)
3401212,천안시을,성거읍,천안시성거읍,천안시성거읍  (천안시을)
3401211,천안시을,성환읍,천안시성환읍,천안시성환읍  (천안시을)
3401258,천안시을,백석동,천안시백석동,천안시백석동  (천안시을)
3401131,천안시병,풍세면,천안시풍세면,천안시풍세면  (천안시병)
3401132,천안시병,광덕면,천안시광덕면,천안시광덕면  (천안시병)
3401157,천안시병,신방동,천안시신방동,천안시신방동  (천안시병)
3401158,천안시병,청룡동,천안시청룡동,천안시청룡동  (천안시병)
3401255,천안시병,쌍용3동,천안시쌍용3동,천안시쌍용3동  (천안시병)
3401254,천안시병,쌍용2동,천안시쌍용2동,천안시쌍용2동  (천안시병)
3401253,천안시병,쌍용1동,천안시쌍용1동,천안시쌍용1동  (천안시병)
3402059,공주시부여군청양군,월송동,공주시월송동,공주시월송동  (공주시부여군청양군)
3402058,공주시부여군청양군,웅진동,공주시웅진동,공주시웅진동  (공주시부여군청양군)
3402057,공주시부여군청양군,신관동,공주시신관동,공주시신관동  (공주시부여군청양군)
3402056,공주시부여군청양군,옥룡동,공주시옥룡동,공주시옥룡동  (공주시부여군청양군)
3402055,공주시부여군청양군,금학동,공주시금학동,공주시금학동  (공주시부여군청양군)
3402051,공주시부여군청양군,중학동,공주시중학동,공주시중학동  (공주시부여군청양군)
3402040,공주시부여군청양군,신풍면,공주시신풍면,공주시신풍면  (공주시부여군청양군)
3402039,공주시부여군청양군,사곡면,공주시사곡면,공주시사곡면  (공주시부여군청양군)
3402038,공주시부여군청양군,우성면,공주시우성면,공주시우성면  (공주시부여군청양군)
3402037,공주시부여군청양군,정안면,공주시정안면,공주시정안면  (공주시부여군청양군)
3402036,공주시부여군청양군,의당면,공주시의당면,공주시의당면  (공주시부여군청양군)
3402034,공주시부여군청양군,반포면,공주시반포면,공주시반포면  (공주시부여군청양군)
3402033,공주시부여군청양군,계룡면,공주시계룡면,공주시계룡면  (공주시부여군청양군)
3402032,공주시부여군청양군,탄천면,공주시탄천면,공주시탄천면  (공주시부여군청양군)
3402031,공주시부여군청양군,이인면,공주시이인면,공주시이인면  (공주시부여군청양군)
3402011,공주시부여군청양군,유구읍,공주시유구읍,공주시유구읍  (공주시부여군청양군)
3433045,공주시부여군청양군,초촌면,부여군초촌면,부여군초촌면  (공주시부여군청양군)
3433044,공주시부여군청양군,석성면,부여군석성면,부여군석성면  (공주시부여군청양군)
3433043,공주시부여군청양군,세도면,부여군세도면,부여군세도면  (공주시부여군청양군)
3433042,공주시부여군청양군,장암면,부여군장암면,부여군장암면  (공주시부여군청양군)
3433041,공주시부여군청양군,임천면,부여군임천면,부여군임천면  (공주시부여군청양군)
3433040,공주시부여군청양군,양화면,부여군양화면,부여군양화면  (공주시부여군청양군)
3433039,공주시부여군청양군,충화면,부여군충화면,부여군충화면  (공주시부여군청양군)
3433038,공주시부여군청양군,남면,부여군남면,부여군남면  (공주시부여군청양군)
3433037,공주시부여군청양군,옥산면,부여군옥산면,부여군옥산면  (공주시부여군청양군)
3433036,공주시부여군청양군,홍산면,부여군홍산면,부여군홍산면  (공주시부여군청양군)
3433035,공주시부여군청양군,구룡면,부여군구룡면,부여군구룡면  (공주시부여군청양군)
3433034,공주시부여군청양군,내산면,부여군내산면,부여군내산면  (공주시부여군청양군)
3433033,공주시부여군청양군,외산면,부여군외산면,부여군외산면  (공주시부여군청양군)
3433032,공주시부여군청양군,은산면,부여군은산면,부여군은산면  (공주시부여군청양군)
3433031,공주시부여군청양군,규암면,부여군규암면,부여군규암면  (공주시부여군청양군)
3433011,공주시부여군청양군,부여읍,부여군부여읍,부여군부여읍  (공주시부여군청양군)
3435039,공주시부여군청양군,비봉면,청양군비봉면,청양군비봉면  (공주시부여군청양군)
3435038,공주시부여군청양군,화성면,청양군화성면,청양군화성면  (공주시부여군청양군)
3435037,공주시부여군청양군,남양면,청양군남양면,청양군남양면  (공주시부여군청양군)
3435036,공주시부여군청양군,장평면,청양군장평면,청양군장평면  (공주시부여군청양군)
3435035,공주시부여군청양군,청남면,청양군청남면,청양군청남면  (공주시부여군청양군)
3435034,공주시부여군청양군,목면,청양군목면,청양군목면  (공주시부여군청양군)
3435033,공주시부여군청양군,정산면,청양군정산면,청양군정산면  (공주시부여군청양군)
3435032,공주시부여군청양군,대치면,청양군대치면,청양군대치면  (공주시부여군청양군)
3435031,공주시부여군청양군,운곡면,청양군운곡면,청양군운곡면  (공주시부여군청양군)
3435011,공주시부여군청양군,청양읍,청양군청양읍,청양군청양읍  (공주시부여군청양군)
3403056,보령시서천군,대천5동,보령시대천5동,보령시대천5동  (보령시서천군)
3403054,보령시서천군,대천4동,보령시대천4동,보령시대천4동  (보령시서천군)
3403053,보령시서천군,대천3동,보령시대천3동,보령시대천3동  (보령시서천군)
3403052,보령시서천군,대천2동,보령시대천2동,보령시대천2동  (보령시서천군)
3403051,보령시서천군,대천1동,보령시대천1동,보령시대천1동  (보령시서천군)
3403040,보령시서천군,성주면,보령시성주면,보령시성주면  (보령시서천군)
3403039,보령시서천군,미산면,보령시미산면,보령시미산면  (보령시서천군)
3403038,보령시서천군,주산면,보령시주산면,보령시주산면  (보령시서천군)
3403037,보령시서천군,남포면,보령시남포면,보령시남포면  (보령시서천군)
3403036,보령시서천군,청라면,보령시청라면,보령시청라면  (보령시서천군)
3403035,보령시서천군,청소면,보령시청소면,보령시청소면  (보령시서천군)
3403034,보령시서천군,천북면,보령시천북면,보령시천북면  (보령시서천군)
3403033,보령시서천군,오천면,보령시오천면,보령시오천면  (보령시서천군)
3403032,보령시서천군,주교면,보령시주교면,보령시주교면  (보령시서천군)
3403031,보령시서천군,주포면,보령시주포면,보령시주포면  (보령시서천군)
3403011,보령시서천군,웅천읍,보령시웅천읍,보령시웅천읍  (보령시서천군)
3434041,보령시서천군,서면,서천군서면,서천군서면  (보령시서천군)
3434040,보령시서천군,비인면,서천군비인면,서천군비인면  (보령시서천군)
3434039,보령시서천군,종천면,서천군종천면,서천군종천면  (보령시서천군)
3434038,보령시서천군,판교면,서천군판교면,서천군판교면  (보령시서천군)
3434037,보령시서천군,문산면,서천군문산면,서천군문산면  (보령시서천군)
3434036,보령시서천군,시초면,서천군시초면,서천군시초면  (보령시서천군)
