선거구명,정당명,이름,성별,생년월일,직업,학력,경력,특표수
 종로구,한나라당,박진(朴振),남,1956/09/16(51세),국회의원,영국 옥스퍼드대학교 정치학박사,한나라당종로구국회의원(16·17대)제17대 대통령직인수위원회 외교·통일·안보분과 간사,34113(48.44)
 중구,한나라당,나경원(羅卿瑗),여,1963/12/06(44세),(現)제17대 국회의원,서울대 법과대학 졸업,(現)제17대 국회의원(前)한나라당 대변인,23609(46.07)
 용산구,한나라당,진영(陳永),남,1950/10/23(57세),국회의원,서울대학교 법과대학 법학과 졸업,한나라당 박근혜대표 최고위원 비서실장서울지방법원 남부지원 판사,47533(58.04)
 성동구갑,한나라당,진수희(陳壽姬),여,1955/11/12(52세),국회의원,미국 일리노이대학교 대학원 졸업(철학박사),제17대 국회의원제17대 대통령직인수위원회 정무분과 간사,33455(51.32)
 성동구을,한나라당,김동성(金東聖),남,1971/01/11(37세),변호사,서울대학교 법학과 졸업,(전)인천지방법원 판사(전)SBS '솔로몬의 선택' 출연 변호사,29533(51.59)
 광진구갑,한나라당,권택기(權宅起),남,1965/07/27(42세),정당인,서강대학교 경영학과 졸업,이명박 대통령 당선인 비서실 정무기획2팀장미 존스홉킨스대 국제관계대학원 객원연구원,33255(53.78)
 광진구을,통합민주당,추미애(秋美愛),여,1958/10/23(49세),변호사,한양대학교 법학과 졸업,제15대 제16대 국회의원춘천·인천·전주 지방법원 광주고등법원 판사,34854(51.29)
 동대문구갑,한나라당,장광근(張光根),남,1954/01/08(54세),정당인,연세대학교 정치외교학과 졸업,제14대16대 국회의원제17대 대통령 경선 한나라당 이명박 후보 대변인,39127(53.54)
 동대문구을,한나라당,홍준표(洪準杓),남,1954/12/05(53세),국회의원,고려대학교 법과대학 행정학과 졸업,제151617대 국회의원제17대 국회환경노동위원회 위원장,37618(56.83)
 중랑구갑,한나라당,유정현(柳政鉉),남,1967/10/24(40세),정당인,연세대학교 언론홍보 대학원 졸업,전 SBS 아나운서제17대 대통령선거 중앙선대위 유세지원단 문화예술총괄팀 홍보위원장,27419(40.51)
 중랑구을,한나라당,진성호(秦聖昊),남,1962/11/26(45세),정당인,서울대학교 경영학과 졸업,제17대 대통령선거 한나라당 중앙선대위 뉴미디어 팀장대통령직 인수위원회 전문위원,30983(39.54)
 성북구갑,한나라당,정태근(鄭泰根),남,1964/01/08(44세),정당인,연세대학교 상경대학 경제학과 졸업,서울특별시 부시장(전)이명박 대통령후보 수행단장(전),46260(55.39)
 성북구을,한나라당,김효재(金孝在),남,1952/05/14(55세),정당인,고려대학교 사회학과 졸업,전)조선일보 논설위원전)대통령직인수위원회 상임자문위원,38322(47.26)
