constituency,party,name,gender,birth,job,academic,career,votes
종로구,민주통합당,정세균(丁世均),남,1950/09/26(61세),국회의원,경희대학교 대학원 경영학 박사,(전)민주당 대표(전)노무현정부 산업자원부 장관,41732(52.26)
중구,민주통합당,정호준(鄭皓駿),남,1971/02/19(41세),정당인(서울중구 지역위원장),뉴욕대학교(NYU) 그래픽커뮤니케이션 매니지먼트&테크놀러지 석사('97.9.~'99.5.),(전)노무현대통령 청와대비서실 정무행정관(현)정일형 · 이태영박사 기념사업회 이사장,31364(50.27)
용산구,새누리당,진영(陳永),남,1950/10/23(61세),국회의원,서울대학교 법과대학 법학과 졸업,(전) 서울지방법원 남부지원 판사(전) 한나라당 서울시당위원장,56067(52.43)
성동구갑,민주통합당,최재천(崔載千),남,1963/11/19(48세),변호사,전남대학교 일반대학원 법학과 법학박사 졸업,(전) 제17대 국회의원(현) 법무법인한강 대표변호사,37656(52.08)
성동구을,민주통합당,홍익표(洪翼杓),남,1967/11/20(44세),북한대학원대학교 겸임교수,한양대학교 정치외교학과 대학원 졸업 (정치학 박사),(현) 북한대학원대학교 겸임교수(전) 통일부 정책보좌관,31564(49.66)
광진구갑,민주통합당,김한길(金한길),남,1953/09/17(58세),정당인,건국대학교 정치외교학과 졸업,(전)문화관광부 장관(전)열린우리당 원내대표,44334(52.11)
광진구을,민주통합당,추미애(秋美愛),여,1958/10/23(53세),국회의원,한양대학교 법학과 졸업,(전)고등법원 판사제15 16 18대 국회의원,45980(55.19)
동대문구갑,민주통합당,안규백(安圭伯),남,1961/04/29(50세),정당인,성균관대학교 무역대학원 무역학과 수료(석사과정),(전)노무현 대통령 인수위원회 전문위원(현)제18대 국회의원,41993(48.40)
동대문구을,민주통합당,민병두(閔丙梪),남,1958/06/10(53세),정당인,성균관대학교 경상대학 무역학과 졸업,(전)제17대 국회의원(전)문화일보 워싱턴 특파원,42960(52.88)
중랑구갑,민주통합당,서영교(徐瑛敎),여,1964/11/11(47세),동국대학교 겸임교수,이화여자대학교 대학원 동아시아학 박사과정 수료,(전) 노무현대통령 청와대 춘추관장 겸 보도지원비서관(전)박원순 서울시장 후보 희망캠프 유세본부 본부장,33891(40.91)
중랑구을,민주통합당,박홍근(朴洪根),남,1969/10/08(42세),정당인,경희대학교 행정대학원 환경행정학과 석사과정 졸업,(전) 경희대학교 총학생회장(현) 반값등록금 국민본부 공동대표,44212(44.49)
성북구갑,민주통합당,유승희(俞承希),여,1960/04/26(51세),정당인,한양대학교 대학원 행정학과 졸업(행정학박사),(전)17대 국회의원(전)노무현대통령 인수위원회 전문위원,54057(51.26)
성북구을,민주통합당,신계륜(申溪輪),남,1954/08/13(57세),사단법인 신정치문화원 이사장,고려대학교 행정학과 졸업,(전)서울시 정무부시장(전)노무현대통령후보.당선자 비서실장,56177(53.98)
강북구갑,민주통합당,오영식(吳泳食),남,1967/02/28(45세),정당인,고려대학교 대학원 경영학과 박사과정(재무론) 수료,(전)고려대학교 총학생회장(전)제17대 국회의원,37352(52.21)
강북구을,민주통합당,유대운(劉大運),남,1950/01/10(62세),정당인,부성국민학교졸업,(현) 노무현재단 기획위원(전) 민주당 정책위원회 부의장,40755(54.19)
도봉구갑,민주통합당,인재근(印在謹),여,1953/11/11(58세),인권운동가,이화여자대학교 사회학과 졸업,(전) 로버트 케네디 인권상 수상(현) 한반도재단 이사장,45682(58.46)
도봉구을,민주통합당,유인태(柳寅泰),남,1948/09/05(63세),정당인,서울대학교 사회학과 졸업,(전) 노무현 대통령 청와대 정무수석(전) 1417대 국회의원,43784(51.06)
노원구갑,새누리당,이노근(李老根),남,1954/03/09(58세),광운대학교 겸임교수,경기대학교 정치전문대학원 졸업(행정학 박사),(전)노원구청장(현)광운대학교 겸임교수,40865(50.06)
노원구을,민주통합당,우원식(禹元植),남,1957/09/18(54세),정당인,연세대학교 공학대학원 졸업(공학석사),(전)17대 국회의원 역임(전)박원순 서울시장후보 선거대책본부 공동본부장,50844(49.72)
노원구병,통합진보당,노회찬(魯會燦),남,1956/08/31(55세),정당인,고려대학교 정치외교학과 졸업,(전)제17대 국회의원(현)통합진보당 대변인,52270(57.21)
은평구갑,민주통합당,이미경(李美卿),여,1950/09/20(61세),국회의원,이화여자대학교 대학원 정치외교학과 졸업(정치학 석사),(전)민주당 사무총장(현)제18대 국회의원,42672(49.05)
은평구을,새누리당,이재오(李在五),남,1945/01/11(67세),국회의원,고려대학교 교육대학원 졸업(교육학 석사),(전)국민권익위원장(전)특임장관,63238(49.51)
서대문구갑,민주통합당,우상호(禹相虎),남,1962/12/12(49세),정당인,연세대학교 행정대학원 졸업(행정학 석사),(현)민주통합당 전략홍보본부장(전)제17대 국회의원,40481(54.36)
서대문구을,새누리당,정두언(鄭斗彦),남,1957/03/06(55세),국회의원,서울대학교 무역학과 졸업,(전)서울특별시 정무부시장(전)한나라당 최고위원,35380(49.38)
마포구갑,민주통합당,노웅래(盧雄來),남,1957/08/03(54세),정당인,동국대학교 언론정보대학원졸업(언론학석사),(전)17대 국회의원(전)MBC연합노동조합위원장,39398(54.25)
마포구을,민주통합당,정청래(鄭淸來),남,1965/04/18(46세),정당인,서강대학교 공공정책대학원졸업(정치학석사),(전)제17대 국회의원(현)민주통합당 서울시마포을 지역위원회 위원장,58163(54.48)
