선거구명,party,photo,name,gender,birth,주소,직업,학력,career,득표수
서울종로구,더불어민주당,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1101/Sgg2110101/Hb100119321/gicho/thumbnail.100119321.jpg,"
														정세균(丁世均)
",남,"
														1950/09/26(65세)
														",서울특별시 종로구 동망산길,국회의원,고려대학교 법학과 졸업,(전)민주당 대표(전)산업자원부 장관,"44,342(52.60)"
서울중구성동구갑,더불어민주당,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1104/Sgg2110402/Hb100119325/gicho/thumbnail.100119325.jpg,"
														홍익표(洪翼杓)
",남,"
														1967/11/20(48세)
														",서울특별시 성동구 행당로,국회의원,한양대학교 대학원 정치외교학과 졸업 (정치학 박사),(전)민주당 원내대변인(현)제19대 더불어민주당 국회의원,"50,630(45.07)"
서울중구성동구을,새누리당,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1102/Sgg2110201/Hb100118412/gicho/thumbnail.100118412.jpg,"
														지상욱(池尙昱)
",남,"
														1965/05/16(50세)
														",서울특별시 중구 동호로17길,정당인,"일본 동경대학교 공학대학원 졸업(1994.4~1997.3, 건축학박사)",(전)새누리당 중구 당협위원장(전)2010년 지방선거 서울시장 후보,"37,981(38.03)"
서울용산구,더불어민주당,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1103/Sgg2110301/Hb100119890/gicho/thumbnail.100119890.jpg,"
														진영(陳永)
",남,"
														1950/10/23(65세)
														",서울특별시 용산구 한강대로,국회의원,서울대학교 법과대학 법학과 졸업,(전)보건복지부 장관(전)제18대 대통령직인수위원회 부위원장,"48,965(42.77)"
서울광진구갑,더불어민주당,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1105/Sgg2110501/Hb100118932/gicho/thumbnail.100118932.jpg,"
														전혜숙(全惠淑)
",여,"
														1955/05/05(60세)
														",서울특별시 광진구 광나루로,정당인,성균관대학교 임상약학대학원 약학석사,(전) 제18대 국회의원(현) 더불어민주당 사회복지특별위원장,"35,855(40.67)"
서울광진구을,더불어민주당,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1105/Sgg2110502/Hb100119374/gicho/thumbnail.100119374.jpg,"
														추미애(秋美愛)
",여,"
														1958/10/23(57세)
														",서울특별시 광진구 광나루로56길,국회의원,한양대학교 법학과 졸업,(전) 고등법원 판사(현) 광진구을 제19대 국회의원,"43,980(48.53)"
서울동대문구갑,더불어민주당,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1106/Sgg2110601/Hb100119918/gicho/thumbnail.100119918.jpg,"
														안규백(安圭伯)
",남,"
														1961/04/29(54세)
														",서울특별시 동대문구 한천로63길,국회의원,성균관대학교 무역대학원 무역학과 석사과정 수료,(전)더불어민주당 전략홍보본부장(현)제19대 동대문갑 국회의원,"39,728(42.76)"
서울동대문구을,더불어민주당,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1106/Sgg2110602/Hb100119639/gicho/thumbnail.100119639.jpg,"
														민병두(閔丙梪)
",남,"
														1958/06/10(57세)
														",서울특별시 동대문구 사가정로,국회의원,성균관대학교 무역학과 졸업,(전)문화일보 워싱턴특파원(현)민주정책연구원 원장,"49,942(58.16)"
서울중랑구갑,더불어민주당,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1107/Sgg2110701/Hb100119402/gicho/thumbnail.100119402.jpg,"
														서영교(徐瑛敎)
",여,"
														1964/11/11(51세)
														",서울특별시 중랑구 면목로37길,국회의원,이화여자대학교 정치외교학과 졸업,(전)청와대 춘추관장 겸 보도지원 비서관(현)국회 법제사법위원회 위원,"45,838(54.15)"
서울중랑구을,더불어민주당,http://info.nec.go.kr/photo_20160413/Sd1100/Gsg1107/Sgg2110702/Hb100119564/gicho/thumbnail.100119564.jpg,"
														박홍근(朴洪根)
",남,"
														1969/10/08(46세)
														",서울특별시 중랑구 봉화산로,국회의원,경희대학교 행정대학원 환경행정학과 졸업(행정학석사),(현)서울 중랑구(을) 국회의원(현)유네스코(UNESCO) 한국위원,"49,620(44.28)"
