타입,지역구이름,비례순번,정당명,사진,이름(한자),성별,생년월일(연령),주소,직업,학력,경력,
지역구,종로구,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100136749/gicho/thumbnail.100136749.JPG,이낙연(李洛淵),남,1952.12.20(67세),서울특별시 종로구 송월길,정당인,서울대학교 법과대학 법학과 졸업,(현)민주당 코로나19국난극복위원장(전)제45대 국무총리,"54,902(58.38)"
지역구,중구성동구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1104/Hb100137167/gicho/thumbnail.100137167.JPG,홍익표(洪翼杓),남,1967.11.20(52세),서울특별시 성동구 행당로,정치인,한양대학교 대학원 정치외교학과 졸업(정치학박사),(현)국회의원(제19대.20대)(전)더불어민주당 수석대변인,"70,387(54.25)"
지역구,중구성동구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1102/Hb100137489/gicho/thumbnail.100137489.JPG,박성준(朴省俊),남,1969.04.23(50세),서울특별시 중구 청파로,정당인,성균관대학교 정치외교학과 정치학 박사,(전) JTBC 아나운서(현)더불어민주당 중앙당 부대변인,"64,071(51.96)"
지역구,용산구,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg1103/Hb100134818/gicho/thumbnail.100134818.JPG,권영세(權寧世),남,1959.02.24(61세),서울특별시 용산구 이태원로27길,변호사,하버드대학교 케네디스쿨 졸업 (행정학석사 2000.7~2001.6),(전) 주중국대한민국 대사(전) 제16ㆍ17ㆍ18대 국회의원,"63,891(47.80)"
지역구,광진구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1105/Hb100137525/gicho/thumbnail.100137525.JPG,전혜숙(全惠淑),여,1955.05.05(64세),서울특별시 광진구 광나루로,국회의원,성균관대학교 임상약학대학원 약학석사(사회약학),(현) 제20대 광진구갑 국회의원(현) 국회 행정안전위원회 위원장,"56,608(53.68)"
지역구,광진구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1105/Hb100137348/gicho/thumbnail.100137348.JPG,고민정(高旼廷),여,1979.08.23(40세),서울특별시 광진구 광나루로56길,정당인,경희대학교 외국어학부 동아시아어학과(중국어 전공) 졸업,(전) 문재인 정부 청와대 대변인(전) KBS 아나운서,"54,210(50.37)"
지역구,동대문구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1106/Hb100137155/gicho/thumbnail.100137155.JPG,안규백(安圭伯),남,1961.04.29(58세),서울특별시 동대문구 한천로63길,국회의원,성균관대학교 무역대학원 무역학과 석사과정 수료,(현)제20대 동대문구갑 국회의원(현)국회 국방위원장,"51,551(52.72)"
지역구,동대문구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1106/Hb100136804/gicho/thumbnail.100136804.JPG,장경태(張耿態),남,1983.10.12(36세),서울특별시 동대문구 전농로27길,정당인,성균관대학교 국정전문대학원 행정학과 수료(박사학위과정),(현)문재인 대통령직속 국가균형발전위원회 국민소통특별위원(현)더불어민주당 도시교통특별위원장,"55,230(54.54)"
지역구,중랑구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1107/Hb100135715/gicho/thumbnail.100135715.JPG,서영교(徐瑛敎),여,1964.11.11(55세),서울특별시 중랑구 면목로37길,국회의원,이화여자대학교대학원 동아시아학연구 비교정치경제전공 박사학위과정수료,(전)더불어민주당 원내수석부대표(현)제20대 국회의원,"55,185(57.76)"
지역구,중랑구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1107/Hb100137170/gicho/thumbnail.100137170.JPEG,박홍근(朴洪根),남,1969.10.08(50세),서울특별시 중랑구 봉화산로,제20대 국회의원,경희대학교 행정대학원 환경행정학과 졸업(행정학석사),"(현) 국회의원(제19대, 20대)(전) 더불어민주당 원내수석부대표","74,131(59.28)"
지역구,성북구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1108/Hb100135069/gicho/thumbnail.100135069.JPG,김영배(金永培),남,1967.03.08(53세),서울특별시 성북구 고려대로2길,정당인,고려대학교 정치외교학과 졸업,"(전) 민선5기, 6기 성북구청장(전) 문재인대통령 청와대비서관(정책조정/민정)","82,954(60.90)"
지역구,성북구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1108/Hb100136215/gicho/thumbnail.100136215.JPG,기동민(奇東旻),남,1966.02.23(54세),서울특별시 성북구 숭인로,국회의원,성균관대학교 언론정보대학원 언론학 석사,(현)더불어민주당 서울 성북을 국회의원(전)서울시 정무부시장,"70,740(59.36)"
